date : 02:00 31/03/2023 | % : 1.53% | value : 464.49298004657084$ 
date : 02:00 01/04/2023 | % : 0.04% | value : 464.49298004657084$ 
date : 02:00 02/04/2023 | % : 1.18% | value : 464.49298004657084$ 
date : 02:00 03/04/2023 | % : 1.76% | value : 464.49298004657084$ 
date : 02:00 04/04/2023 | % : 1.30% | value : 464.49298004657084$ 
date : 02:00 05/04/2023 | % : 0.23% | value : 464.49298004657084$ 
date : 02:00 06/04/2023 | % : 0.49% | value : 464.49298004657084$ 
date : 02:00 07/04/2023 | % : 0.46% | value : 464.49298004657084$ 
date : 02:00 08/04/2023 | % : 0.19% | value : 464.49298004657084$ 
date : 02:00 09/04/2023 | % : 1.02% | value : 464.49298004657084$ 
date : 02:00 10/04/2023 | % : 3.63% | value : 464.49298004657084$ 
date : 02:00 11/04/2023 | % : 2.04% | value : 464.49298004657084$ 
date : 02:00 12/04/2023 | % : 1.05% | value : 464.49298004657084$ 
date : 02:00 13/04/2023 | % : 1.61% | value : 464.49298004657084$ 
date : 02:00 14/04/2023 | % : 0.45% | value : 464.49298004657084$ 
date : 02:00 15/04/2023 | % : 0.57% | value : 464.49298004657084$ 
date : 02:00 16/04/2023 | % : -0.07% | value : 464.49298004657084$ 
date : 02:00 17/04/2023 | % : 2.30% | value : 464.49298004657084$ 
date : 02:00 18/04/2023 | % : 3.01% | value : 464.49298004657084$ 
date : 02:00 19/04/2023 | % : 5.10% | value : 464.49298004657084$ 
date : 02:00 20/04/2023 | % : 2.24% | value : 464.49298004657084$ 
date : 02:00 21/04/2023 | % : 3.49% | value : 464.49298004657084$ 
date : 02:00 22/04/2023 | % : 1.99% | value : 464.49298004657084$ 
date : 02:00 23/04/2023 | % : 0.82% | value : 464.49298004657084$ 
date : 02:00 24/04/2023 | % : 0.42% | value : 464.49298004657084$ 
date : 02:00 25/04/2023 | % : 2.73% | value : 464.49298004657084$ 
date : 02:00 26/04/2023 | % : 2.51% | value : 464.49298004657084$ 
date : 02:00 27/04/2023 | % : 3.59% | value : 464.49298004657084$ 
date : 02:00 28/04/2023 | % : 0.55% | value : 464.49298004657084$ 
date : 02:00 29/04/2023 | % : 0.28% | value : 464.49298004657084$ 
date : 02:00 30/04/2023 | % : 0.79% | value : 464.49298004657084$ 
date : 02:00 01/05/2023 | % : 3.84% | value : 464.49298004657084$ 
date : 02:00 02/05/2023 | % : 2.10% | value : 464.49298004657084$ 
date : 02:00 03/05/2023 | % : 1.34% | value : 464.49298004657084$ 
date : 02:00 04/05/2023 | % : 0.65% | value : 464.49298004657084$ 
date : 02:00 05/05/2023 | % : 2.19% | value : 464.49298004657084$ 
date : 02:00 06/05/2023 | % : 2.33% | value : 464.49298004657084$ 
date : 02:00 07/05/2023 | % : 1.47% | value : 464.49298004657084$ 
date : 02:00 08/05/2023 | % : 2.88% | value : 464.49298004657084$ 
date : 02:00 09/05/2023 | % : 0.15% | value : 464.49298004657084$ 
date : 02:00 10/05/2023 | % : 0.04% | value : 464.49298004657084$ 
date : 02:00 11/05/2023 | % : 2.34% | value : 464.49298004657084$ 
date : 02:00 12/05/2023 | % : 1.74% | value : 464.49298004657084$ 
date : 02:00 13/05/2023 | % : 0.07% | value : 464.49298004657084$ 
date : 02:00 14/05/2023 | % : 0.49% | value : 464.49298004657084$ 
date : 02:00 15/05/2023 | % : 1.15% | value : 464.49298004657084$ 
date : 02:00 16/05/2023 | % : 0.47% | value : 464.49298004657084$ 
date : 02:00 17/05/2023 | % : 0.64% | value : 464.49298004657084$ 
date : 02:00 18/05/2023 | % : 2.18% | value : 464.49298004657084$ 
date : 02:00 19/05/2023 | % : 0.22% | value : 464.49298004657084$ 
date : 02:00 20/05/2023 | % : 0.82% | value : 464.49298004657084$ 
date : 02:00 21/05/2023 | % : 0.98% | value : 464.49298004657084$ 
date : 02:00 22/05/2023 | % : 0.38% | value : 464.49298004657084$ 
date : 02:00 23/05/2023 | % : 1.44% | value : 464.49298004657084$ 
date : 02:00 24/05/2023 | % : 3.18% | value : 464.49298004657084$ 
date : 02:00 25/05/2023 | % : 0.55% | value : 464.49298004657084$ 
date : 02:00 26/05/2023 | % : 0.98% | value : 464.49298004657084$ 
date : 02:00 27/05/2023 | % : 0.55% | value : 464.49298004657084$ 
date : 02:00 28/05/2023 | % : 2.87% | value : 464.49298004657084$ 
date : 02:00 29/05/2023 | % : 1.18% | value : 464.49298004657084$ 
date : 02:00 30/05/2023 | % : 0.15% | value : 464.49298004657084$ 
date : 02:00 31/05/2023 | % : 1.89% | value : 464.49298004657084$ 
date : 02:00 01/06/2023 | % : 1.57% | value : 464.49298004657084$ 
date : 02:00 02/06/2023 | % : 1.56% | value : 464.49298004657084$ 
date : 02:00 03/06/2023 | % : 0.64% | value : 464.49298004657084$ 
date : 02:00 04/06/2023 | % : 0.27% | value : 464.49298004657084$ 
date : 02:00 05/06/2023 | % : 3.76% | value : 464.49298004657084$ 
date : 02:00 06/06/2023 | % : 5.32% | value : 464.49298004657084$ 
date : 02:00 07/06/2023 | % : 3.38% | value : 464.49298004657084$ 
date : 02:00 08/06/2023 | % : 0.60% | value : 464.49298004657084$ 
date : 02:00 09/06/2023 | % : 0.08% | value : 464.49298004657084$ 
date : 02:00 10/06/2023 | % : 2.35% | value : 464.49298004657084$ 
date : 02:00 11/06/2023 | % : 0.33% | value : 464.49298004657084$ 
date : 02:00 12/06/2023 | % : 0.08% | value : 464.49298004657084$ 
date : 02:00 13/06/2023 | % : 0.47% | value : 464.49298004657084$ 
date : 02:00 14/06/2023 | % : 3.22% | value : 464.49298004657084$ 
date : 02:00 15/06/2023 | % : 1.84% | value : 464.49298004657084$ 
date : 02:00 16/06/2023 | % : 2.87% | value : 464.49298004657084$ 
date : 02:00 17/06/2023 | % : 0.65% | value : 464.49298004657084$ 
date : 02:00 18/06/2023 | % : 0.67% | value : 464.49298004657084$ 
date : 02:00 19/06/2023 | % : 1.79% | value : 464.49298004657084$ 
date : 02:00 20/06/2023 | % : 4.23% | value : 464.49298004657084$ 
date : 02:00 21/06/2023 | % : 6.10% | value : 464.49298004657084$ 
date : 02:00 22/06/2023 | % : 0.36% | value : 464.49298004657084$ 
date : 02:00 23/06/2023 | % : 3.07% | value : 464.49298004657084$ 
date : 02:00 24/06/2023 | % : 0.53% | value : 464.49298004657084$ 
date : 02:00 25/06/2023 | % : 0.05% | value : 464.49298004657084$ 
date : 02:00 26/06/2023 | % : 0.76% | value : 464.49298004657084$ 
date : 02:00 27/06/2023 | % : 1.39% | value : 464.49298004657084$ 
date : 02:00 28/06/2023 | % : 2.05% | value : 464.49298004657084$ 
date : 02:00 29/06/2023 | % : 1.28% | value : 464.49298004657084$ 
date : 02:00 30/06/2023 | % : 0.02% | value : 464.49298004657084$ 
date : 02:00 01/07/2023 | % : 0.37% | value : 464.49298004657084$ 
date : 02:00 02/07/2023 | % : -0.08% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
date : 14:20 20/01/1970 | % : 0.00% | value : 464.49298004657084$ 
